,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
23,CHEMBL1605379,CCc1ccc(N2C(=O)c3sc4nnc(-c5ccccc5)c(=O)n4c3C2=O)cc1,inactive,402.4350000000001,3.181000000000002,0.0,7.0,4.313989708684715
24,CHEMBL1440977,NNc1cc([N+](=O)[O-])cc2c1c(=O)n(Cc1ccccc1)[s+]2[O-],inactive,332.341,1.9712,2.0,7.0,4.198116292874761
25,CHEMBL1597427,CCOc1cc(CNc2ccc(N3CCCC3)cc2)cc(Cl)c1OC,inactive,360.8850000000001,4.9596000000000044,1.0,4.0,4.31695296176115
26,CHEMBL1430159,COc1ccc(C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)cc1CO,inactive,428.52500000000026,3.4199000000000024,1.0,6.0,4.33913452199613
28,CHEMBL1508598,CCOc1cc(/C=C2\C(=O)ON=C2c2ccccc2)ccc1OC,inactive,323.34800000000007,3.4384000000000023,0.0,5.0,4.566710314804975
29,CHEMBL512216,Cn1c(=O)c2[nH]c(-c3ccccc3)c(O)c2n(C)c1=O,inactive,271.276,0.9378999999999997,2.0,5.0,4.732828271596986
30,CHEMBL1374578,O=C(O)c1ccccc1C(=O)c1ccc(Sc2ccc(Cl)cc2)c([N+](=O)[O-])c1,inactive,413.8380000000001,5.328600000000003,1.0,5.0,4.454816631784594
31,CHEMBL1547715,O=C1NC(=O)C(=Cc2ccc3ccccc3c2)C(=O)N1,inactive,266.256,1.5891999999999997,2.0,3.0,4.294136287716081
35,CHEMBL1711303,Cc1ccc(SC2=C(N(C)C)C(=O)c3ccccc3C2=O)cc1,inactive,323.4170000000001,3.9395200000000026,0.0,4.0,4.187353983766881
36,CHEMBL1334452,O=C(NCCO)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1,inactive,349.34600000000006,2.871900000000001,2.0,6.0,4.169668006548038
37,CHEMBL1476673,COc1cc(/C=C2\SC(=S)N(CCCCC(=O)O)C2=O)ccc1OS(=O)(=O)c1ccc(C)cc1,inactive,521.6380000000003,4.227420000000003,1.0,8.0,4.400007822415902
38,CHEMBL1390702,CSC1=NSC2=NC(=O)/C(=C\c3c[nH]c4ccccc34)C(=N)N12,inactive,341.42100000000005,3.10757,2.0,5.0,4.0
39,CHEMBL1322139,CC(=O)n1cc(C=C2C(=O)NC(=O)NC2=O)c2ccccc21,inactive,297.27000000000004,1.0507999999999997,2.0,5.0,4.368556230986828
40,CHEMBL3144954,O=c1c(Sc2ccccc2)c(C(F)(F)F)[nH]n1-c1ccccc1,inactive,336.338,4.335600000000002,1.0,3.0,4.225191169689294
41,CHEMBL1480398,Cc1sc(C(C2C(=O)CC(C)(C)CC2=O)C2C(=O)CC(C)(C)CC2=O)cc1[N+](=O)[O-],inactive,433.52600000000024,4.1971200000000035,0.0,7.0,4.531652669587842
42,CHEMBL1602234,O=C(O)CN1C(=O)/C(=C\c2cccc(OCc3ccc(F)cc3)c2)SC1=S,inactive,403.456,3.690500000000003,1.0,5.0,4.370794342897696
43,CHEMBL1334552,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccccc1Cl,inactive,327.16700000000003,1.9958,0.0,4.0,4.63320361671327
44,CHEMBL1350958,O=C(O)c1ccccc1-c1ccccc1C(=O)Nc1ccc(-c2nc3cc(Cl)ccc3o2)cc1,inactive,468.89600000000013,6.765700000000004,2.0,4.0,4.267365032460805
45,CHEMBL1558809,Cc1ccc(N2C(=O)NC(=O)/C(=C/c3ccc(OC(=O)c4cccs4)cc3)C2=O)cc1,inactive,432.4570000000001,3.9421200000000027,1.0,6.0,4.256882374785258
46,CHEMBL1430245,COc1ccc(/C=C2/SC(=S)N(NS(=O)(=O)c3ccc(C)cc3)C2=O)cc1,inactive,420.5370000000002,3.098320000000002,1.0,6.0,4.24504041227829
47,CHEMBL1423198,Cc1n[nH]c(O)c1C(c1ccc(-c2ccc(C(=O)O)cc2)o1)c1c(C)n[nH]c1O,inactive,394.3870000000001,3.2992400000000015,5.0,6.0,4.036968124946101
48,CHEMBL1390936,CCOC(=O)c1c(-c2ccc(C)c(C)c2)csc1NC(=O)C1CC=CCC1C(=O)O,inactive,427.5220000000002,4.814140000000004,2.0,5.0,4.361910278015494
49,CHEMBL3145017,CCc1c(C)[nH]n(-c2ccc(Oc3ccccc3)c(S(=O)(=O)O)c2)c1=O,inactive,374.4180000000001,3.0754200000000003,2.0,5.0,4.073246094810263
50,CHEMBL1406745,Cc1ccc(C2C(C(=O)c3ccc(Br)cc3)=C(O)C(=O)N2Cc2ccco2)o1,inactive,442.2650000000002,4.722020000000003,1.0,5.0,4.0
51,CHEMBL1469314,O=C1NC(=O)C(=Cc2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2)C(=O)N1,inactive,353.29,2.1364999999999994,2.0,6.0,4.462180904926726
52,CHEMBL1547740,O=C(O)CCCN1C(=O)/C(=C\c2ccccc2OCc2ccccc2)SC1=S,inactive,413.52000000000015,4.3316000000000034,1.0,5.0,4.435689090039397
53,CHEMBL1410383,COC(=O)CCC(=O)OC1(C)C(=O)C2=CN(C3CC3)C(c3ccc(OC)cc3)=CC2=C(Br)C1=O,inactive,530.3710000000002,3.4539000000000017,0.0,8.0,4.0
54,CHEMBL1602380,Cc1ccc(S(=O)(=O)N2[C@H](c3ccc(Cl)c(Cl)c3)CC=C(C(=O)O)[C@@H]2c2cccc(Cl)c2)cc1,inactive,536.8640000000003,6.843220000000006,1.0,3.0,4.237396450433197
55,CHEMBL1597458,Cl.O=C(Nc1cc(S(=O)(=O)N2CCCCC2)ccc1O)c1ccccc1NS(=O)(=O)c1ccc(F)cc1,inactive,570.0640000000002,4.180800000000003,3.0,6.0,4.1683221508085335
56,CHEMBL1413174,CCCCOc1ccc(Nc2cc(Cl)ccc2C(=O)O)cn1,inactive,320.776,4.355700000000003,2.0,4.0,4.223444089296738
58,CHEMBL1901559,N#CC(=C1C=C(Br)C(=NO)C=C1Cl)c1ccc(Cl)cc1,inactive,370.033,4.862480000000002,1.0,3.0,4.20453710560962
59,CHEMBL1333593,COc1cc(C(=O)Nc2scc(-c3ccc(Br)cc3)c2C(=O)O)cc(OC)c1OC,inactive,492.34700000000026,5.153900000000004,2.0,6.0,4.236871623200863
60,CHEMBL1402117,Oc1nc(S)nc2c1C(c1ccc(Br)cc1)c1c(O)nc(S)nc1O2,inactive,437.3000000000002,3.3036000000000003,4.0,9.0,4.132473588800257
61,CHEMBL1469489,O=C(O)CCN1C(=O)/C(=C\c2cccc(OCC(=O)Nc3ccc(Cl)cc3)c2)SC1=S,inactive,476.96300000000014,4.033400000000003,2.0,6.0,4.4566770993530875
62,CHEMBL1519860,O=C1NC(=S)NC(=O)C12C(c1ccccc1)N=C(S)NC2c1ccccc1,inactive,396.49700000000007,1.8752999999999993,4.0,5.0,4.158765704493959
63,CHEMBL1327479,Cc1ccc(S(=O)(=O)NN2C(=O)/C(=C/c3cccc(F)c3)SC2=S)cc1,inactive,408.5010000000001,3.2288200000000016,1.0,5.0,4.566070234391536
64,CHEMBL1609490,O=[N+]([O-])c1ccc(-[n+]2ccc3ccccc3c2)c([N+](=O)[O-])c1.[Cl-],inactive,331.71500000000003,-0.06310000000000016,0.0,4.0,4.0
